Which of the following is the correct extension of the Python file,.python,.pl,.py,.p
All keywords in Python are in _________,Capitalized,lower case,UPPER CASE,None of the Mentioned
What will be the value of the following Python expression? 4 + 3 % 5,7,2,4,1
Which of the following is used to define a block of code in Python language?,Indentation,Key,Brackets,All of the above
Which keyword is used for function in Python language?,function,def,fun,def
Which of the following character is used to give single-line comments in Python?,//,#,!,/*
Which of the following is not a core data type in Python programming?,Tuple,Lists,Class,Class
"What will be the output of the following Python function? len([""hello"",2, 4, 6])",Error,6,4,3
Which one of the following is not a keyword in Python language?,pass,eval,assert,nonlocal
 Which of the following statements is used to create an empty set in Python?,set(),[],{},set()
